payee,category
33RD STREET BISTRO,Restaurant
34 MEXICAN CUISINE,Restaurant
888 SEAFOOD RESTAURANT,Restaurant
A1 EXECUTIVE TRANSPORTATION,Other
AKASHA RESTAURANT,Restaurant
ALAN LOWENTHAL FOR ASSEMBLY C/O PADILLA & ASSOCIATES,Other
ALBERGO HILTON ROME AIRPO FIUMICINO,Hotel
ALEXANDER FLORIST LLC,Other
ALLIANCE GRAPHICS,Other
AMETRON AMERICAN CONSUMER ELECTRONICS,Other
ANGELE RESTAURANT & BAR,Restaurant
APPLE ITUNES STORE,Other
APPLE STORE FARMERS MARKET,Other
ARAMARK,Other
ASHLEY CATERING,Other
"AST SPORTSWEAR, INC.",Other
AUDIBLE,Other
"AWARDS BY KAY, INC.",Other
BACO MERCAT,Restaurant
BALLY'S HOTEL,Hotel
"BEACON PRESS, INC.",Other
BEN TARZYNSKI FOR GARDENA CITY COUNCIL 2020,Other
BEST BEVERAGE CATERING,Other
BEST WESTERN - JOHN MUIR INN,Hotel
BLACK & WHITE TRANSPORT,Other
BONAVENTURE BREWING COMPANY,Bar
BREAKFAST REPUBLIC,Restaurant
BREWER CANTELMO CO.,Other
BRODARD RESTAURANT,Restaurant
BROOKSTONE LOS ANGELES,Other
BROTHERS RESTAURANT & DELI,Restaurant
BROWN PALACE HOTEL,Hotel
BURGER CONTINENTAL,Restaurant
CA ALLIANCE FOR PRIDE & EQUALITY,Other
CA WOMEN LEAD,Other
CABLETIME TV,Other
CALIFORNIA PRINTERS,Other
CALIFORNIANS FOR INFORMED VOTING,Other
CARDMEMBER SERVICE,Other
CHASE CARD SERVICES,Other
CHUI KING CHINESE RESTAURANT,Restaurant
CITY CRAB AND SEAFOOD,Restaurant
CITY OF LOS ANGELES CONVENTION CENTER,Other
CLAUDINE KITCHEN AND BAKESHOP,Restaurant
CLOSE UP FOUNDATION,Other
CLUBHOUSE - PELICAN GOLF CLUB,Other
COLLINS FISH MARKET,Restaurant
COMFORT INN & SUITES JOHN WAYNE AIRPORT,Hotel
COMMITTEE TO PROTECT OUR HEALTH INSURANCE,Other
COMMITTEE TO RE-ELECT GLORIA NEGRETE MCLEOD 2004,Other
COMMITTEE TO RE-ELECT LORETTA SANCHEZ FEC#C00326264,Other
CONFERENCE CALLS UNLIMITED,Other
CONTINENTAL COLORCRAFT,Other
CROWN COFFEE,Restaurant
DAN DOW FOR DISTRICT ATTORNEY 2018,Other
DARIO FROMMER FOR STATE ASSEMBLY,Other
DAVE BUNGE'S GRIP SERVICES,Other
DEMOCRATS FOR ISRAEL LOS ANGELES STATE,Other
DEWEY SQUARE GROUP,Other
DISTRICT HOLDINGS,Other
DORIAN B. GARCIA,Other
DOWNTOWN MAIL SERVICE,Other
EASYDNS TECHNOLOGIES,Other
EDWARDS OFFICE SYSTEMS,Other
EL POLLO INKA,Other
ELLA DINNING ROOM,Other
"ELLISTON VINEYARDS, INC.",Other
EMPLOYMENT DEVELOPMENT DEPT.,Other
EVERLANE,Other
"FACEBOOK, INC.",Other
FAIRMONT BATTERY WHARF,Other
FALLAS Y PAREDES,Other
FIRST IMPRESSION SCREEN PRINTING,Other
FRANCISCO FRAGOSO DBA JOHNNY'S RIB SHACK,Restaurant
FTD FLOWER EMPORIUM OF REDONDO BEACH,Other
GAMJA-GOL RESTAURANT,Restaurant
"GRUBHUB, INC.",Restaurant
HENRY LO FOR MONTEREY PARK CITY COUNCIL 2020,Other
HEWLETT-PACKARD,Other
HIGHLAND INN PARK HYATT,Hotel
HILTON HOTELS COSTA MESA,Hotel
HILTON LA JOLLA TORREY PINES,Hotel
HILTON VELA RESTAURANT,Hotel
HILTON-SAN JOSE,Hotel
HOLIDAY INN @ JFK,Hotel
HOLIDAY INN SACRAMENTO DOWNTOWN-ARENA,Hotel
HOTEL BEL-AIR,Hotel
HOTEL CARTER,Hotel
HOUSTON RESTAURANT,Restaurant
HPO EMBROIDERY,Other
HYATT HOTEL -  GREATER NY,Hotel
HYATT HOTEL LAKE TAINCANE,Hotel
HYATT REGENCY SACRAMENTO,Hotel
IIT TRAVEL,Other
INTIRAYMI RESTAURANT,Restaurant
INVITATIONBOX,Other
IRON HORSE TAVERN,Bar
ISTOCK PHOTOS,Other
IVANHOE RESTAURANT,Restaurant
J & S KEYPUNCH SERVICE,Other
JACK SCOTT FOR STATE SENATE ATTN: JOHN FUHRMAN,Other
JACKSON LAKE LODGE,Hotel
JAIX FRENCH RESTAURANT,Restaurant
JALISCO GRILL,Restaurant
JASON R. AULA,Other
JEWISH WORLD WATCH,Other
JOSE OROZCO,Other
JUMBO SEAFOOD RESTAURANT,Restaurant
KBLA,Other
KCBA,Other
KCBA TV,Other
KCBS-AM,Other
KEELER ADVERTISING,Other
KEPLER'S BOOKS,Other
KFIA,Other
KICU SUBVENDOR OF MORRIS & CARRICK INC.,Other
KINGSTON CUISINE,Restaurant
KMGV FM,Other
KMPH,Other
KRED,Other
KSUV SUBVENDOR OF A. GUTIERREZ & ASSOC. INC.,Other
KWRU AM 101.9,Other
KXDZ FM,Other
LAGUNA BEACH DEMOCRATIC CLUB,Other
LAKELAND  VILLAGE,Other
"LONG BEACH FOR BETTER HEALTHCARE, SPONSORED BY SERVICE EMPLOYEES INTERNATIONAL UNION - UNITED HEALTHCARE WORKERS WEST",Other
LOS COMPADRES,Restaurant
LOS PONCHOS,Restaurant
LUCCHESE,Other
LUCILLE'S,Restaurant
"M.J. ROSS GROUP, INC.",Other
MAH & ASSOCIATES,Other
MARCO,Other
MARRIOTT MONTEREY BAY,Hotel
MASSIS KABOB,Restaurant
MAYAHUEL,Restaurant
MCCORMICK & SCHMICK?S SEAFOOD & STEAKS,Restaurant
MELISSA R. DE LA O,Other
MERCATO,Other
MICHAEL CHEN FOR DEMOCRATIC COUNTY CENTRAL COMMITTEE 2020,Other
MICHAEL EMERY PHOTOGRAPHY,Other
MICHAEL P. WADE,Other
MIDTOWN FRAMING,Other
MIGUEL ANGEL MIJANGOS,Other
MIKUNI JAPANESE RESTAURANT AND SUSHI BAR,Restaurant
MILDRED MENA,Other
MILNER BUTCHER MEDIA GROUP LLC,Other
MOBY DICK RESTAURANT,Restaurant
MOORLACH FOR SENATE 2016,Other
"MUNDAY & COLLINS, INC.",Other
NATASHA C. SMITH,Other
NATHAN L. JOHNSON,Other
NIXTACO,Restaurant
NO ON PROP 16 2010,Other
NOBU LOS ANGELES,Restaurant
NORTHERN CALIFORNIA WINE COUNTRY,Other
OCLC,Other
ODALIS SUAREZ FOR GLENDALE SCHOOL BOARD,Other
ORGANIZING 2.0,Other
ORIGINAL JOE'S,Restaurant
OVER 50 VOTER GUIDE,Other
PALA BAND OF MISSION INDIANS,Other
PALISADES MEDIA GROUP INC,Other
PARKING NETWORK,Other
PBC GIFT CERTIFICATE,Other
PINDA COVALIR,Other
PITNEY BOWES CREDIT CORPORATION,Other
PIZZA HUT,Restaurant
R&R BROADCASTING,Other
RACKSPACE,Other
RE-ELECT FIONA MA,Other
RED CAR BREWERY,Bar
REGAL CINEMA,Other
REGISTRAR OF VOTERS - SAN BERNARDINO,Other
RENAISSANCE MAYFLOWER HOTEL,Hotel
"RITZ-CARLTON NEW YORK, BATTERY PARK",Hotel
RIVER CITY BUSINESS SERVICES,Other
"ROSS MCCANSE AND ASSOCIATES, INC.",Other
ROYAL AMERICAN TOURS,Other
SAN FRANCISCO MARRIOTT,Hotel
SAN JOSE BUSINESS JOURNAL,Other
SERRANO HOTEL,Hotel
SHERATON INN,Hotel
SHERATON PETALUMA,Hotel
SHERIDON KEITH DESIGN & PHOTOGRAPHY,Hotel
SIBIA CAB,Other
SIERRA NEVADA ALLIANCE,Other
SILICON VALLEY FORUM,Other
SIMON SALINAS FOR ASSEMBLY 2002 C/O PIRAYOU LAW OFFICES,Other
SIPAN BAKERY,Restaurant
SITOA,Other
SKANDATA,Other
SMITH GALLERY,Other
SOMETHING SPECIAL AVIATION CATERING,Other
SOTTOVOCE MADERO,Other
SOURCE ONE RENTALS,Other
SPARKLETTS,Other
SPECIAL OLYMPICS NORTHERN CALIFORNIA,Other
SPECIAL T. MESSENGER,Other
SPECTRUM,Other
STAGE LIGHTING CONCEPTS,Other
SUPER 8 DISCOVERY PARK,Hotel
TANK HOUSE BBQ,Restaurant
TELINCS,Other
TEMPLE ISRAEL OF HOLLYWOOD,Other
TEN PENH RESTAURANT,Restaurant
THE ABBEY FOOD & BAR,Bar
THE BOMBAY COMPANY,Other
THE CAVALIER,Other
THE DRIVER PROVIDER,Other
THE FRENCH LAUNDRY,Restaurant
"THE HUB CONNECTION, INC.",Other
THE HUMANE SOCIETY,Other
THE IVY RESTAURANT,Restaurant
THE JEFFERSON,Hotel
THE KRESS,Other
THE MERITAGE RESORT AND SPA,Hotel
THE OVAL ROOM,Restaurant
THE PALMS,Restaurant
THE TORRANCE CULTURAL ARTS,Other
THE VENETIAN ROOM,Hotel
TODD RICKETTS,Other
TOMS SEAFOOD RESTAURANT,Restaurant
"TOP NOTCH DATA, INC.",Other
TRAVELODGE - MERCED,Hotel
TRES HERMANOS,Restaurant
TWENTY EIGHT,Other
TWITTER,Other
U.S. POSTMASTER - SANTA ANA P & DC,Other
